year,month_monday,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_month,weeks_in_month
2010,3,WPKL/PUTRAJAYA,Setapak,Keramat Wangsa Kelumpuk Cempaka Penguin,14.0,32.0,94.0,0.0,40.2,2.1142857142857143,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Setapak,"Keramat Wangsa Kelumpuk Kuang,Teratai,Menara Merak Kayangan.",75.0,58.0,664.0,0.0,87.0,2.5371428571428574,0.0,35,5
2010,3,WPKL/PUTRAJAYA,Setapak,Keramat Wangsa Kelumpuk Sunding  Malam Bunga Raya,10.0,33.5,323.0,0.0,1.2,2.5214285714285714,0.0,14,2
2010,3,WPKL/PUTRAJAYA,Setapak,Ppr Air Panas,8.0,48.0,154.0,0.0,0.0,1.885714285714286,0.0,7,1
2010,3,WPKL/PUTRAJAYA,Setapak,Taman Setapak Jaya (Jalan Rejang 4-10),92.0,67.0,664.0,0.0,87.0,2.5371428571428574,0.0,35,5
2010,4,JOHOR,MBJB,"Flat Larkin ,Bandaraya",11.0,61.0,79.0,0.0,41.475,1.6392857142857145,122.79000000000002,7,1
2010,4,JOHOR,MBJB,Kawasan Perindustrian Tampoi Tebrau,32.0,34.0,55.0,0.0,1.4500000000000008,1.575,122.28,7,1
2010,4,JOHOR,MBJB,"Taman Kenanga,Tebrau",9.0,59.0,55.0,0.0,1.4500000000000008,1.575,122.28,7,1
2010,4,JOHOR,MPJBT,Bandar Sri Alam Jalan Tasek 6A Pelentong,5.0,33.0,55.0,0.0,1.4500000000000008,1.575,122.28,7,1
2010,4,JOHOR,MPJBT,Felda Ulu Tebrau,5.0,37.0,50.0,0.0,42.075,1.4714285714285713,105.03,7,1
2010,4,JOHOR,MPJBT,"Taman Desa Cemerlang Rumah Pangsa,Pelentong.",94.0,115.5,134.0,0.0,42.925000000000004,1.6071428571428572,245.07000000000002,14,2
2010,4,JOHOR,MPPG,"Flat Sedc, Pelentong",43.0,38.666666666666664,191.0,0.0,83.72500000000002,1.5166666666666668,338.09000000000003,21,3
2010,4,JOHOR,MPPG,"Taman Tg Puteri Resort Jalan Lampam,Pelentong",9.0,34.0,62.0,0.0,0.17500000000000782,1.4392857142857145,110.27,7,1
2010,4,PAHANG,Kuantan,Kuarters Pga Bukit Galing,5.0,31.0,17.0,0.0,35.14,1.1742857142857142,140.015,7,1
2010,4,PAHANG,Kuantan,Taman Indera Mahkota 6,41.0,40.75,74.0,0.0,91.33999999999999,1.0821428571428573,532.885,28,4
2010,4,SARAWAK,Bau,Kpg Stenggang,4.0,33.0,42.0,0.0,51.575,1.5510204081632657,110.79,7,1
2010,4,SELANGOR,Gombak,Apartment Julia;(Bandar Baru Selayang F2B),6.0,37.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Gombak,Bandar Baru Selayang Fasa 2B,7.0,50.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Gombak,Kg Desa Aman,33.0,91.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Gombak,Kg Matang Pagar,21.0,38.0,1229.0,2.0,179.73333333333335,1.292063492063492,371.675,21,3
2010,4,SELANGOR,Gombak,Selayang Baru K5,5.0,31.0,329.0,0.0,46.10000000000001,1.2238095238095237,138.185,7,1
2010,4,SELANGOR,Gombak,Taman Desa Jaya,47.0,39.0,1229.0,2.0,179.73333333333335,1.292063492063492,371.675,21,3
2010,4,SELANGOR,Gombak,Taman Industri Tago Kepong,15.0,48.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Gombak,Taman Selayang Utama,5.0,40.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Gombak,Taman Sri Gombak Fasa 9,83.0,94.0,1360.0,2.0,194.0666666666667,1.3142857142857143,300.55,21,3
2010,4,SELANGOR,Hulu Langat,Apartment 16C Seksyen 16 Bandar Baru Bangi,68.0,79.0,1360.0,2.0,194.0666666666667,1.3142857142857143,300.55,21,3
2010,4,SELANGOR,Hulu Langat,Fasa 1 Taman Kantan Permai,7.0,35.0,329.0,0.0,46.10000000000001,1.2238095238095237,138.185,7,1
2010,4,SELANGOR,Hulu Langat,Fasa 2 Seksyen 4 Bandar Baru Bangi,48.0,46.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,Hulu Langat,Fasa 4 Taman Taming Jaya,19.0,42.0,1229.0,2.0,179.73333333333335,1.292063492063492,371.675,21,3
2010,4,SELANGOR,Hulu Langat,Pangsapuri Baiduri Bandar Tasik Kesuma,30.0,38.5,770.0,0.0,107.50000000000003,1.276190476190476,263.855,14,2
2010,4,SELANGOR,Hulu Langat,Pkns Beranang,13.0,45.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,Hulu Langat,Seksyen 1 Bandar Rinching,10.0,35.0,329.0,0.0,46.10000000000001,1.2238095238095237,138.185,7,1
2010,4,SELANGOR,Hulu Langat,Seksyen 2 Bandar Rinching,52.0,68.5,919.0,2.0,132.66666666666669,1.3071428571428572,174.88000000000002,14,2
2010,4,SELANGOR,Hulu Langat,Seksyen 3 Taman Pelangi Semenyih,150.0,48.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,Hulu Langat,Taman Cheras Awana,44.0,74.0,1360.0,2.0,194.0666666666667,1.3142857142857143,300.55,21,3
2010,4,SELANGOR,Hulu Selangor,"Kuarters Rumah Kedai, Jalan Seri Pagi, Sg Choh",5.0,30.0,459.0,2.0,72.23333333333333,1.3238095238095238,107.82000000000002,7,1
2010,4,SELANGOR,K.Langat,Bandar Saujana Putra,5.0,31.0,329.0,0.0,46.10000000000001,1.2238095238095237,138.185,7,1
2010,4,SELANGOR,MBPJ,Apartment Permai Pju 10,11.0,32.0,459.0,2.0,72.23333333333333,1.3238095238095238,107.82000000000002,7,1
2010,4,SELANGOR,MBPJ,Apt Saujana Pju 10,5.0,30.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,MBPJ,Flat Desaria Pjs 5,76.0,86.5,919.0,2.0,132.66666666666669,1.3071428571428572,174.88000000000002,14,2
2010,4,SELANGOR,MBPJ,Mentari Court Pjs 8,137.0,103.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,MBPJ,Ss 9A,100.0,54.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,MBSA,Apartment Alora Seksyen 25,6.0,30.0,459.0,2.0,72.23333333333333,1.3238095238095238,107.82000000000002,7,1
2010,4,SELANGOR,MBSA,Seksyen 13 (Pangsapuri Perdana),83.0,40.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,MBSA,Seksyen 6( Jalan 6/5- Jalan 6/5C),8.0,30.0,441.0,0.0,61.40000000000001,1.3285714285714283,125.67,7,1
2010,4,SELANGOR,MBSA,Seksyen 7D (Teres -Jalan 7/63),16.0,75.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,MPAJ,Pandan Mewah (Zon A),66.0,44.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,MPAJ,Taman Dagang (Zon A),12.0,63.0,460.0,0.0,60.43333333333334,1.2904761904761906,67.06,7,1
2010,4,SELANGOR,MPAJ,Taman Dagang (Zon B),67.0,57.5,1689.0,2.0,240.16666666666669,1.2916666666666665,438.735,28,4
2010,4,SELANGOR,MPAJ,Taman Kosas (Zon C),24.0,37.5,900.0,2.0,133.63333333333335,1.326190476190476,233.49,14,2
