state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2011,31,2011,6.8,1.3428571428571427,,7
Federal territory of Malaysia,2011,32,2011,-2.099999999999998,1.2571428571428573,,7
Federal territory of Malaysia,2011,33,2011,68.80000000000001,1.3571428571428572,,7
Federal territory of Malaysia,2011,34,2011,25.2,1.9714285714285713,,7
Federal territory of Malaysia,2011,35,2011,10.3,1.3714285714285717,,7
Federal territory of Malaysia,2011,36,2011,28.2,1.5714285714285714,,7
Federal territory of Malaysia,2011,37,2011,172.0,1.8142857142857145,,7
Federal territory of Malaysia,2011,38,2011,79.6,1.757142857142857,,7
Federal territory of Malaysia,2011,39,2011,-3.099999999999996,1.9285714285714286,,7
Federal territory of Malaysia,2011,40,2011,9.900000000000004,1.7000000000000004,,7
Federal territory of Malaysia,2011,41,2011,75.19999999999999,1.7857142857142858,,7
Federal territory of Malaysia,2011,42,2011,84.19999999999999,2.185714285714286,,7
Federal territory of Malaysia,2011,43,2011,-30.7,2.6714285714285713,,7
Federal territory of Malaysia,2011,44,2011,75.0,2.3000000000000003,,7
Federal territory of Malaysia,2011,45,2011,54.8,1.5714285714285714,,7
Federal territory of Malaysia,2011,46,2011,35.900000000000006,1.8714285714285717,,7
Federal territory of Malaysia,2011,47,2011,47.4,2.2142857142857144,,7
Federal territory of Malaysia,2011,48,2011,193.00000000000003,1.5571428571428572,,7
Federal territory of Malaysia,2011,49,2011,31.0,2.0142857142857147,,7
Federal territory of Malaysia,2011,50,2011,67.6,1.8142857142857143,,7
Federal territory of Malaysia,2011,51,2011,15.700000000000005,1.7571428571428573,,7
Federal territory of Malaysia,2011,52,2011,-42.3,2.1,,7
Federal territory of Malaysia,2012,1,2012,49.800000000000004,3.128571428571429,,7
Federal territory of Malaysia,2012,2,2012,2.4,3.1999999999999997,,7
Federal territory of Malaysia,2012,3,2012,114.6,1.4142857142857141,,7
Federal territory of Malaysia,2012,4,2012,33.10000000000001,2.1,,7
Federal territory of Malaysia,2012,5,2012,17.099999999999998,2.3000000000000003,,7
Federal territory of Malaysia,2012,6,2012,18.6,2.3000000000000003,,7
Federal territory of Malaysia,2012,7,2012,-8.1,1.9857142857142855,,7
Federal territory of Malaysia,2012,8,2012,32.6,2.085714285714286,,7
Federal territory of Malaysia,2012,9,2012,91.5,2.1,,7
Federal territory of Malaysia,2012,10,2012,-25.9,2.242857142857143,,7
Federal territory of Malaysia,2012,11,2012,-4.4999999999999964,2.914285714285714,,7
Federal territory of Malaysia,2012,12,2012,-92.69999999999999,1.5,,7
Federal territory of Malaysia,2012,13,2012,-5.099999999999996,2.314285714285714,,7
Federal territory of Malaysia,2012,14,2012,98.9,1.7714285714285711,,7
Federal territory of Malaysia,2012,15,2012,49.7,1.6285714285714286,,7
Federal territory of Malaysia,2012,16,2012,135.0,1.5999999999999999,,7
Federal territory of Malaysia,2012,17,2012,-24.799999999999997,1.5857142857142856,,7
Federal territory of Malaysia,2012,18,2012,-15.499999999999996,1.457142857142857,,7
Federal territory of Malaysia,2012,19,2012,-25.999999999999986,1.5999999999999999,,7
Federal territory of Malaysia,2012,20,2012,-66.6,1.5999999999999999,,7
Federal territory of Malaysia,2012,21,2012,-25.199999999999992,1.6,,7
Federal territory of Malaysia,2012,22,2012,31.700000000000003,2.314285714285714,,7
Federal territory of Malaysia,2012,23,2012,74.7,1.7142857142857142,,7
Federal territory of Malaysia,2012,24,2012,-66.6,1.4142857142857144,,7
Federal territory of Malaysia,2012,25,2012,0.0,1.4000000000000001,,7
Federal territory of Malaysia,2012,26,2012,3.8000000000000003,1.6,,7
Federal territory of Malaysia,2012,27,2012,175.1,1.6714285714285715,,7
Federal territory of Malaysia,2012,28,2012,69.6,1.3571428571428572,,7
Federal territory of Malaysia,2012,29,2012,54.400000000000006,1.9285714285714286,,7
Federal territory of Malaysia,2012,30,2012,33.4,1.6999999999999997,,7
Federal territory of Malaysia,2012,31,2012,6.8,2.057142857142857,,7
Federal territory of Malaysia,2012,32,2012,8.400000000000002,1.4999999999999998,,7
Federal territory of Malaysia,2012,33,2012,-22.39999999999999,1.5,,7
Federal territory of Malaysia,2012,34,2012,98.1,1.714285714285714,,7
Federal territory of Malaysia,2012,35,2012,-14.199999999999992,1.657142857142857,,7
Federal territory of Malaysia,2012,36,2012,132.0,1.342857142857143,,7
Federal territory of Malaysia,2012,37,2012,38.0,1.8714285714285714,,7
Federal territory of Malaysia,2012,38,2012,123.7,1.4714285714285715,,7
Federal territory of Malaysia,2012,39,2012,69.4,1.5571428571428572,,7
Federal territory of Malaysia,2012,40,2012,52.599999999999994,1.6857142857142855,,7
Federal territory of Malaysia,2012,41,2012,-52.599999999999994,1.9428571428571426,,7
Federal territory of Malaysia,2012,42,2012,-21.099999999999998,1.8142857142857143,,7
Federal territory of Malaysia,2012,43,2012,72.2,1.2000000000000002,,6
Federal territory of Malaysia,2012,50,2012,0.0,2.5,,1
Federal territory of Malaysia,2012,51,2012,77.4,2.0714285714285716,,7
Federal territory of Malaysia,2012,52,2012,21.0,1.8857142857142857,,7
Federal territory of Malaysia,2013,1,2013,3.3000000000000043,1.7285714285714289,,7
Federal territory of Malaysia,2013,2,2013,52.6,1.1142857142857143,,7
Federal territory of Malaysia,2013,3,2013,29.900000000000002,2.157142857142857,,7
Federal territory of Malaysia,2013,4,2013,6.8,2.985714285714286,,7
Federal territory of Malaysia,2013,5,2013,-45.39999999999999,2.7714285714285714,,7
Federal territory of Malaysia,2013,6,2013,-21.9,2.9,,7
Federal territory of Malaysia,2013,7,2013,0.2,3.3857142857142857,,7
Federal territory of Malaysia,2013,8,2013,-31.9,2.2857142857142856,,7
Federal territory of Malaysia,2013,9,2013,17.0,1.9571428571428573,,7
Federal territory of Malaysia,2013,10,2013,36.00000000000001,2.528571428571429,,7
Federal territory of Malaysia,2013,11,2013,46.800000000000004,1.8428571428571427,,7
Federal territory of Malaysia,2013,12,2013,77.1,1.1428571428571428,,7
Federal territory of Malaysia,2013,13,2013,20.8,1.1428571428571428,,7
Federal territory of Malaysia,2013,14,2013,90.0,1.2,,7
Federal territory of Malaysia,2013,15,2013,-40.99999999999999,1.2,,7
Federal territory of Malaysia,2013,16,2013,88.6,1.1428571428571428,,7
Federal territory of Malaysia,2013,17,2013,9.8,1.042857142857143,,7
Federal territory of Malaysia,2013,18,2013,44.800000000000004,1.1285714285714288,,7
